,biocViews,Enhances,LinkingTo,License,URL,Imports,Suggests Me,Build Report,Suggests,Depends,Version,In Bioconductor since,Imports Me,Depends On Me,SystemRequirements
BSgenome,"Annotation,DataRepresentation,Genetics,Infrastructure,SNP,SequenceMatching,Software",,,Artistic-2.0,,"methods, stats,BiocGenerics,S4Vectors,IRanges,XVector,GenomeInfoDb,GenomicRanges,Biostrings,Rsamtools,rtracklayer","Biostrings,biovizBase,easyRNASeq,GeneRegionScan,GenomeInfoDb,GenomicAlignments,GenomicFeatures,GenomicRanges,genoset,MEDIPS,metaseqR,MiRaGE,oneChannelGUI,QDNAseq,rtracklayer,SNPlocs.Hsapiens.dbSNP.20100427,SNPlocs.Hsapiens.dbSNP.20101109,SNPlocs.Hsapiens.dbSNP.20110815,SNPlocs.Hsapiens.dbSNP.20111119,spliceR,waveTiling",&nbsp;,"BiocInstaller,BSgenome.Celegans.UCSC.ce2(>= 1.3.11),BSgenome.Hsapiens.UCSC.hg19(>= 1.3.11),BSgenome.Hsapiens.UCSC.hg19.masked,BSgenome.Rnorvegicus.UCSC.rn5,SNPlocs.Hsapiens.dbSNP.20100427,hgu95av2probe,Biobase,RUnit","R (>= 2.8.0), methods,BiocGenerics(>= 0.1.2),S4Vectors(>= 0.0.7),IRanges(>= 1.99.1),GenomeInfoDb(>= 1.1.4),GenomicRanges(>= 1.17.15),Biostrings(>= 2.33.3),rtracklayer(>= 1.25.8)",1.34.1,BioC 1.9 (R-2.4),"BEAT,BSgenome.Alyrata.JGI.v1,BSgenome.Amellifera.BeeBase.assembly4,BSgenome.Amellifera.UCSC.apiMel2,BSgenome.Amellifera.UCSC.apiMel2.masked,BSgenome.Athaliana.TAIR.04232008,BSgenome.Athaliana.TAIR.TAIR9,BSgenome.Btaurus.UCSC.bosTau3,BSgenome.Btaurus.UCSC.bosTau3.masked,BSgenome.Btaurus.UCSC.bosTau4,BSgenome.Btaurus.UCSC.bosTau4.masked,BSgenome.Btaurus.UCSC.bosTau6,BSgenome.Btaurus.UCSC.bosTau6.masked,BSgenome.Celegans.UCSC.ce10,BSgenome.Celegans.UCSC.ce2,BSgenome.Celegans.UCSC.ce6,BSgenome.Cfamiliaris.UCSC.canFam2,BSgenome.Cfamiliaris.UCSC.canFam2.masked,BSgenome.Cfamiliaris.UCSC.canFam3,BSgenome.Cfamiliaris.UCSC.canFam3.masked,BSgenome.Dmelanogaster.UCSC.dm2,BSgenome.Dmelanogaster.UCSC.dm2.masked,BSgenome.Dmelanogaster.UCSC.dm3,BSgenome.Dmelanogaster.UCSC.dm3.masked,BSgenome.Drerio.UCSC.danRer5,BSgenome.Drerio.UCSC.danRer5.masked,BSgenome.Drerio.UCSC.danRer6,BSgenome.Drerio.UCSC.danRer6.masked,BSgenome.Drerio.UCSC.danRer7,BSgenome.Drerio.UCSC.danRer7.masked,BSgenome.Ecoli.NCBI.20080805,BSgenome.Gaculeatus.UCSC.gasAcu1,BSgenome.Gaculeatus.UCSC.gasAcu1.masked,BSgenome.Ggallus.UCSC.galGal3,BSgenome.Ggallus.UCSC.galGal3.masked,BSgenome.Ggallus.UCSC.galGal4,BSgenome.Ggallus.UCSC.galGal4.masked,BSgenome.Hsapiens.NCBI.GRCh38,BSgenome.Hsapiens.UCSC.hg17,BSgenome.Hsapiens.UCSC.hg17.masked,BSgenome.Hsapiens.UCSC.hg18,BSgenome.Hsapiens.UCSC.hg18.masked,BSgenome.Hsapiens.UCSC.hg19,BSgenome.Hsapiens.UCSC.hg19.masked,BSgenome.Mfuro.UCSC.musFur1,BSgenome.Mmulatta.UCSC.rheMac2,BSgenome.Mmulatta.UCSC.rheMac2.masked,BSgenome.Mmulatta.UCSC.rheMac3,BSgenome.Mmulatta.UCSC.rheMac3.masked,BSgenome.Mmusculus.UCSC.mm10,BSgenome.Mmusculus.UCSC.mm10.masked,BSgenome.Mmusculus.UCSC.mm8,BSgenome.Mmusculus.UCSC.mm8.masked,BSgenome.Mmusculus.UCSC.mm9,BSgenome.Mmusculus.UCSC.mm9.masked,BSgenome.Osativa.MSU.MSU7,BSgenome.Ptroglodytes.UCSC.panTro2,BSgenome.Ptroglodytes.UCSC.panTro2.masked,BSgenome.Ptroglodytes.UCSC.panTro3,BSgenome.Ptroglodytes.UCSC.panTro3.masked,BSgenome.Rnorvegicus.UCSC.rn4,BSgenome.Rnorvegicus.UCSC.rn4.masked,BSgenome.Rnorvegicus.UCSC.rn5,BSgenome.Rnorvegicus.UCSC.rn5.masked,BSgenome.Scerevisiae.UCSC.sacCer1,BSgenome.Scerevisiae.UCSC.sacCer2,BSgenome.Scerevisiae.UCSC.sacCer3,BSgenome.Sscrofa.UCSC.susScr3,BSgenome.Sscrofa.UCSC.susScr3.masked,BSgenome.Tgondii.ToxoDB.7.0,BSgenome.Tguttata.UCSC.taeGut1,BSgenome.Tguttata.UCSC.taeGut1.masked,charm,ChIPpeakAnno,chipseq,cobindR,ggbio,girafe,gmapR,Gviz,hiAnnotator,MEDIPS,MethylSeekR,phastCons100way.UCSC.hg19,phastCons100way.UCSC.hg19,PING,QuasR,R453Plus1Toolbox,Repitools,seqplots,SNPlocs.Hsapiens.dbSNP.20090506,SNPlocs.Hsapiens.dbSNP.20120608,SNPlocs.Hsapiens.dbSNP141.GRCh38,TFBSTools,VariantAnnotation,VariantFiltering,VariantTools","BSgenome.Alyrata.JGI.v1,BSgenome.Amellifera.BeeBase.assembly4,BSgenome.Amellifera.UCSC.apiMel2,BSgenome.Amellifera.UCSC.apiMel2.masked,BSgenome.Athaliana.TAIR.04232008,BSgenome.Athaliana.TAIR.TAIR9,BSgenome.Btaurus.UCSC.bosTau3,BSgenome.Btaurus.UCSC.bosTau3.masked,BSgenome.Btaurus.UCSC.bosTau4,BSgenome.Btaurus.UCSC.bosTau4.masked,BSgenome.Btaurus.UCSC.bosTau6,BSgenome.Btaurus.UCSC.bosTau6.masked,BSgenome.Celegans.UCSC.ce10,BSgenome.Celegans.UCSC.ce2,BSgenome.Celegans.UCSC.ce6,BSgenome.Cfamiliaris.UCSC.canFam2,BSgenome.Cfamiliaris.UCSC.canFam2.masked,BSgenome.Cfamiliaris.UCSC.canFam3,BSgenome.Cfamiliaris.UCSC.canFam3.masked,BSgenome.Dmelanogaster.UCSC.dm2,BSgenome.Dmelanogaster.UCSC.dm2.masked,BSgenome.Dmelanogaster.UCSC.dm3,BSgenome.Dmelanogaster.UCSC.dm3.masked,BSgenome.Drerio.UCSC.danRer5,BSgenome.Drerio.UCSC.danRer5.masked,BSgenome.Drerio.UCSC.danRer6,BSgenome.Drerio.UCSC.danRer6.masked,BSgenome.Drerio.UCSC.danRer7,BSgenome.Drerio.UCSC.danRer7.masked,BSgenome.Ecoli.NCBI.20080805,BSgenome.Gaculeatus.UCSC.gasAcu1,BSgenome.Gaculeatus.UCSC.gasAcu1.masked,BSgenome.Ggallus.UCSC.galGal3,BSgenome.Ggallus.UCSC.galGal3.masked,BSgenome.Ggallus.UCSC.galGal4,BSgenome.Ggallus.UCSC.galGal4.masked,BSgenome.Hsapiens.NCBI.GRCh38,BSgenome.Hsapiens.UCSC.hg17,BSgenome.Hsapiens.UCSC.hg17.masked,BSgenome.Hsapiens.UCSC.hg18,BSgenome.Hsapiens.UCSC.hg18.masked,BSgenome.Hsapiens.UCSC.hg19,BSgenome.Hsapiens.UCSC.hg19.masked,BSgenome.Mfuro.UCSC.musFur1,BSgenome.Mmulatta.UCSC.rheMac2,BSgenome.Mmulatta.UCSC.rheMac2.masked,BSgenome.Mmulatta.UCSC.rheMac3,BSgenome.Mmulatta.UCSC.rheMac3.masked,BSgenome.Mmusculus.UCSC.mm10,BSgenome.Mmusculus.UCSC.mm10.masked,BSgenome.Mmusculus.UCSC.mm8,BSgenome.Mmusculus.UCSC.mm8.masked,BSgenome.Mmusculus.UCSC.mm9,BSgenome.Mmusculus.UCSC.mm9.masked,BSgenome.Osativa.MSU.MSU7,BSgenome.Ptroglodytes.UCSC.panTro2,BSgenome.Ptroglodytes.UCSC.panTro2.masked,BSgenome.Ptroglodytes.UCSC.panTro3,BSgenome.Ptroglodytes.UCSC.panTro3.masked,BSgenome.Rnorvegicus.UCSC.rn4,BSgenome.Rnorvegicus.UCSC.rn4.masked,BSgenome.Rnorvegicus.UCSC.rn5,BSgenome.Rnorvegicus.UCSC.rn5.masked,BSgenome.Scerevisiae.UCSC.sacCer1,BSgenome.Scerevisiae.UCSC.sacCer2,BSgenome.Scerevisiae.UCSC.sacCer3,BSgenome.Sscrofa.UCSC.susScr3,BSgenome.Sscrofa.UCSC.susScr3.masked,BSgenome.Tgondii.ToxoDB.7.0,BSgenome.Tguttata.UCSC.taeGut1,BSgenome.Tguttata.UCSC.taeGut1.masked,CAGEr,chipseq,cleanUpdTSeq,CRISPRseek,GOTHiC,htSeqTools,leeBamViews,MEDIPS,motifRG,REDseq,rGADEM,SNPlocs.Hsapiens.dbSNP.20090506,SNPlocs.Hsapiens.dbSNP.20120608,SNPlocs.Hsapiens.dbSNP141.GRCh38",
BUS,"Preprocessing,Software",,,GPL-3,,"stats,infotheo",,&nbsp;,,"R (>= 2.3.0),minet",1.22.0,BioC 2.5 (R-2.10),,,
BaseSpaceR,"ConnectTools,DataImport,DataRepresentation,Genetics,HighThroughputSequencing,Infrastructure,Sequencing,Software",,,Apache License 2.0,,methods,,&nbsp;,"RUnit,IRanges,Rsamtools","R (>= 2.15.0),RCurl,RJSONIO",1.10.0,BioC 2.12 (R-3.0),,,
Basic4Cseq,"QualityControl,Software,Visualization",,,LGPL-3,,"methods,RCircos,BSgenome.Ecoli.NCBI.20080805",,&nbsp;,BSgenome.Hsapiens.UCSC.hg19,"R (>= 3.0.0),Biostrings,ShortRead,caTools,GenomicRanges",1.2.0,BioC 2.14 (R-3.1),,,
BayesPeak,"ChIPSeq,Software",,,GPL (>= 2),,"IRanges, graphics",,&nbsp;,"BiocStyle, parallel","R (>= 2.14),IRanges",1.18.2,BioC 2.6 (R-2.11),,,
BeadDataPackR,"Microarray,Software",,,GPL-2,,,,&nbsp;,,,1.18.0,BioC 2.6 (R-2.11),beadarray,,
BiGGR,"Metabolomics,Network,Software,Visualization",,,file LICENSE,http://www.bioconductor.org/,hypergraph,,&nbsp;,,"R (>= 2.14.0),rsbml,hyperdraw,LIM",1.2.0,BioC 2.13 (R-3.0),,,
BiRewire,"Network,Software",,,GPL-3,http://www.ebi.ac.uk/~iorio/BiRewire,,,&nbsp;,"RUnit,BiocGenerics",igraph,1.8.0,BioC 2.13 (R-3.0),,,
BiSeq,"DNAMethylation,Genetics,MethylSeq,Sequencing,Software",,,LGPL-3,,"methods,BiocGenerics,Biobase,S4Vectors,IRanges,GenomicRanges,rtracklayer, parallel,betareg,lokern,Formula,globaltest",,&nbsp;,,"R (>= 2.15.2), methods,S4Vectors,IRanges(>= 1.17.24),GenomicRanges,Formula",1.6.0,BioC 2.12 (R-3.0),M3D,RRBSdata,
BicARE,"Clustering,Microarray,Software,Transcription",,,GPL-2,http://bioinfo.curie.fr,,,&nbsp;,,"R (>= 1.8.0),Biobase(>= 2.5.5),multtest,GSEABase",1.24.0,BioC 2.3 (R-2.8),,,
BioMVCClass,"GraphAndNetwork,Infrastructure,Software,Visualization",,,LGPL,,,,&nbsp;,,"R (>= 2.1.0), methods,MVCClass,Biobase,graph,Rgraphviz",1.34.0,BioC 1.9 (R-2.4),,,
BioNet,"DataImport,DifferentialExpression,GeneExpression,GraphAndNetwork,Microarray,Network,NetworkEnrichment,Software",,,GPL (>= 2),http://bionet.bioapps.biozentrum.uni-wuerzburg.de/,"igraph(>= 0.7),AnnotationDbi",SANTA,&nbsp;,"rgl,impute,DLBCL,genefilter,xtable,ALL,limma,hgu95av2.db,XML","R (>= 2.10.0),Biobase,graph,RBGL",1.26.1,BioC 2.7 (R-2.12),HTSanalyzeR,,
BioSeqClass,"Classification,Software",,,LGPL (>= 2.0),,"Biostrings,ipred,e1071,klaR,randomForest,class,tree,nnet,rpart,party,foreign,Biobase, utils, stats, grDevices",,&nbsp;,scatterplot3d,"R (>= 2.10),scatterplot3d",1.24.0,BioC 2.5 (R-2.10),,,
Biobase,"Infrastructure,Software",,,Artistic-2.0,,methods,"betr,BiocCaseStudies,BiocCheck,BiocGenerics,biocViews,breastCancerMAINZ,breastCancerNKI,breastCancerTRANSBIG,breastCancerUNT,breastCancerUPP,breastCancerVDX,BSgenome,Category,ccTutorial,curatedCRCData,DART,dyebiasexamples,estrogen,farms,genefu,GlobalAncova,globaltest,GSAR,Heatplus,interactiveDisplay,kebabs,les,limma,mammaPrintData,messina,nem,OSAT,pkgDepTools,rheumaticConditionWOLLBOLD,ROC,seventyGeneData,survcomp,TargetScore,tkWidgets,TypeInfo,vbmp,widgetTools,yeastExpData,yeastRNASeq",&nbsp;,"tools,tkWidgets,ALL,RUnit,golubEsets","R (>= 2.10),BiocGenerics(>= 0.3.2), utils",2.26.0,BioC 1.6 (R-2.1) or earlier,"ABarray,aCGH,adSplit,affyILM,affyQCReport,AgiMicroRna,annmap,annotate,AnnotationDbi,AnnotationForge,annotationTools,ArrayExpressHTS,arrayQualityMetrics,ArrayTools,asmn,attract,ballgown,betr,bigmemoryExtras,biocViews,BioSeqClass,biosvd,BiSeq,blima,BrainStars,bsseq,CAFE,Category,ccTutorial,ceu1kgv,cgdv17,CGHnormaliter,charm,ChIPQC,ChIPXpress,ChromHeatMap,clipper,ConsensusClusterPlus,crlmm,cummeRbund,cycle,DESeq2,DeSousa2013,DOQTL,easyRNASeq,EBarrays,ecolitk,ExiMiR,farms,ffpe,Fletcher2013a,flowCore,flowFlowJo,flowFP,flowMatch,flowMeans,flowQB,flowStats,flowType,flowUtils,flowViz,flowWorkspace,flowWorkspace,FourCSeq,frma,frmaTools,gCMAP,gCMAPWeb,gcrma,genefilter,GeneMeta,geneRecommender,GeneRegionScan,GeneSelectMMD,GenomicFeatures,GenomicTuples,GEOsubmission,GGBase,ggbio,GGtools,girafe,globaltest,gmapR,GOFunction,GOstats,GSRI,GSVA,Gviz,Harshlight,HEM,HTqPCR,IdMappingAnalysis,imageHTS,IsoGeneGUI,KEGGandMetacoreDzPathwaysGEO,KEGGdzPathwaysGEO,lapmix,LiquidAssociation,lumi,LVSmiRNA,maanova,MafDb.ALL.wgs.phase1.release.v3.20101123,MafDb.ALL.wgs.phase1.release.v3.20101123,MafDb.ESP6500SI.V2.SSA137.dbSNP138,MafDb.ESP6500SI.V2.SSA137.dbSNP138,makecdfenv,maSigPro,mBPCR,MCRestimate,MeSHDbi,metaArray,methyAnalysis,methylumi,MiChip,MinimumDistance,MiPP,MMDiff,mmnet,MmPalateMiRNA,MoPS,MSnID,multiscan,mzR,ncdfFlow,npGSEA,nucleR,oligoClasses,openCyto,oposSOM,OrderedList,PADOG,PAnnBuilder,panp,Pbase,pcaGoPromoter,PCpheno,piano,plateCore,plgem,plier,ppiStats,prada,PROMISE,PSEA,puma,pvac,pvca,qcmetrics,QDNAseq,qpgraph,QUALIFIER,quantro,QuasR,qusage,randPack,ReadqPCR,ReportingTools,RforProteomics,RGalaxy,Rmagpie,rMAT,rols,Rtreemix,RUVnormalize,SAGx,ShortRead,SimBindProfiles,simpleaffy,SLGI,SNPchip,SomaticSignatures,spade,spkTools,splicegear,STATegRa,synapter,TEQC,timecourse,topGO,TSSi,twilight,VanillaICE,VariantAnnotation,VariantFiltering,XDE,yri1kgv","a4Base,a4Core,ACME,affy,affycomp,affycompData,affyContam,affycoretools,affyPLM,affyQCReport,AGDEX,AgiMicroRna,ALL,altcdfenvs,annaffy,AnnotationDbi,AnnotationForge,antiProfilesData,ArrayExpress,arrayMvout,ArrayTools,BAGS,bcellViper,beadarray,beadarrayExampleData,beadarraySNP,bgx,BicARE,BiocCaseStudies,bioDist,BioMVCClass,BioNet,birta,bladderbatch,BrainStars,CAMERA,cancerclass,cancerdata,casper,Category,categoryCompare,CCl4,cellHTS,cellHTS2,ceu1kg,ceuhm3,CGHbase,CGHcall,CGHregions,charm,cheung2010,chimera,chroGPS,ClassifyR,clippda,CLL,clusterStab,CMA,cn.farms,cn.mops,codelink,colonCA,convert,copa,CopyNumber450k,CRCL18,davidTiling,ddCt,DESeq,DEXSeq,DFP,DLBCL,dressCheck,dsQTL,DSS,dualKS,dyebias,EBarrays,EDASeq,eisa,encoDnaseI,EnrichmentBrowser,epigenomix,epivizr,ExiMiR,fabia,fabiaData,factDesign,fastseg,fibroEset,flowBeads,flowClust,frma,gaga,gaschYHS,GeneAnswers,GeneExpressionSignature,GeneMeta,geneplotter,geneRecommender,GeneRegionScan,GeneSelectMMD,GeneSelector,geNetClassifier,genoset,GEOquery,GGdata,GOexpress,GOFunction,golubEsets,goProfiles,GOstats,GSEABase,GSEAlm,GSVAdata,GWASTools,hapFabia,harbChIP,HCsnip,HELP,Hiiragi2013,hmyriB36,hopach,HTqPCR,htSeqTools,HTSFilter,humanStemCell,HybridMTest,iBMQ,IdeoViz,idiogram,inSilicoDb,inSilicoMerging,isobar,iterativeBMA,Iyer517,kidpack,leeBamViews,leukemiasEset,LMGene,lumi,lumiBarnes,lungExpression,macat,MAQCsubset,MAQCsubsetAFX,MAQCsubsetILM,maSigPro,massiR,MergeMaid,metabomxtr,metagenomeSeq,methyAnalysis,methylumi,Mfuzz,MiChip,MIMOSA,MineICA,minfi,MiRaGE,miRNATarget,MLInterfaces,MLSeq,MmPalateMiRNA,monocle,msd16s,MSnbase,Mulcom,multtest,mvoutData,Neve2006,NOISeq,nondetects,NormqPCR,nucleR,oligo,oneChannelGUI,OrderedList,OTUbase,OutlierD,PADOG,PAnnBuilder,panp,pcaMethods,pcot2,pdInfoBuilder,pdmclass,pepStat,PGSEA,phenoTest,PLPE,plrs,prada,PREDA,PREDAsampledata,ProData,PROMISE,prot2D,puma,pumadata,qpcrNorm,R453Plus1Toolbox,RbcBook1,rbsurv,ReadqPCR,reb,RefPlus,rHVDM,Ringo,Risa,Rmagpie,rMAT,RNAinteract,rnaSeqMap,Rnits,Roleswitch,RpsiXML,rqubic,RTCA,RTopper,RUVnormalizeData,safe,SCAN.UPC,SeqGSEA,sigaR,SigCheck,siggenes,simpleaffy,simulatorZ,SpeCond,SPEM,SpikeInSubset,spkTools,splicegear,spliceSites,stepwiseCM,TCGAcrcmiRNA,TCGAcrcmRNA,TDARACNE,tigre,tilingArray,topGO,tspair,tweeDEseqCountData,twilight,UNDO,VegaMC,viper,vsn,waveTiling,webbioc,xcms,XDE,yeastCC",
BiocCaseStudies,"Infrastructure,Software",,,Artistic-2.0,,,,&nbsp;,"affy(>= 1.17.3),affyPLM(>= 1.15.1),affyQCReport(>= 1.17.0),ALL(>= 1.4.3),annaffy(>= 1.11.1),annotate(>= 1.17.3),AnnotationDbi(>= 1.1.6),apComplex(>= 2.5.0),Biobase(>= 1.17.5),bioDist(>= 1.11.3),biocGraph(>= 1.1.1),biomaRt(>= 1.13.5),CCl4(>= 1.0.6),CLL(>= 1.2.4),Category(>= 2.5.0),class(>= 7.2-38),cluster(>= 1.11.9),convert(>= 1.15.0),gcrma(>= 2.11.1),genefilter(>= 1.17.6),geneplotter(>= 1.17.2),GO.db(>= 2.0.2),GOstats(>= 2.5.0),graph(>= 1.17.4),GSEABase(>= 1.1.13),hgu133a.db(>= 2.0.2),hgu95av2.db,hgu95av2cdf(>= 2.0.0),hgu95av2probe(>= 2.0.0),hopach(>= 1.13.0),KEGG.db(>= 2.0.2),kohonen(>= 2.0.2),lattice(>= 0.17.2),latticeExtra(>= 0.3-1),limma(>= 2.13.1),MASS(>= 7.2-38),MLInterfaces(>= 1.13.17),multtest(>= 1.19.0),org.Hs.eg.db(>= 2.0.2),ppiStats(>= 1.5.4),randomForest(>= 4.5-20),RBGL(>= 1.15.6),RColorBrewer(>= 1.0-2),Rgraphviz(>= 1.17.11),vsn(>= 3.4.0),weaver(>= 1.5.0),xtable(>= 1.5-2),yeastExpData(>= 0.9.11)","tools, methods, utils,Biobase",1.28.0,BioC 2.2 (R-2.7),,,
BiocCheck,"Infrastructure,Software",codetoolsBioC,,Artistic-2.0,https://github.com/Bioconductor/BiocCheck/issues,"biocViews(>= 1.33.7),BiocInstaller,graph,devtools(>= 1.4.1),httr,knitr, tools,optparse,codetools, methods",,&nbsp;,"RUnit,BiocGenerics,Biobase,RJSONIO,knitrBootstrap",R (>= 3.1.0),1.2.3,BioC 2.14 (R-3.1),,,
